Barack Obama,swivel chairs
Bill Gates,lampshades
Steve Jobs,coffee tables
Mark Zuckerberg,window blinds
Elon Musk,throw pillows
Jeff Bezos,bookshelves
Oprah Winfrey,wall clocks
J.K. Rowling,computer mice
Stephen King,keyboard trays
George R.R. Martin,file cabinets
Neil Gaiman,desk lamps
Salman Rushdie,office plants
Haruki Murakami,whiteboard markers
Dan Brown,sticky notes
John Green,water coolers
Malala Yousafzai,paper shredders
Greta Thunberg,staplers
Emma Watson,hole punches
Leonardo DiCaprio,pencil sharpeners
Tom Hanks,thumb tacks
Meryl Streep,bulletin boards
Denzel Washington,desk calendars
Jennifer Lawrence,name plates
Robert Downey Jr.,business cards
Scarlett Johansson,laptop stands
Beyoncé,power strips
Taylor Swift,phone chargers
Ed Sheeran,headphone stands
Adele,cable organizers
Lady Gaga,mouse pads
Drake,wrist rests
Eminem,monitor stands
Kanye West,desk drawers
Rihanna,trash cans
Bruno Mars,recycling bins
LeBron James,air purifiers
Cristiano Ronaldo,space heaters
Lionel Messi,desk fans
Serena Williams,foot rests
Usain Bolt,desk pads
Michael Phelps,coaster sets
Roger Federer,pen holders
Tiger Woods,magazine racks
Simone Biles,letter trays
Nadia Comaneci,paper clip holders
Stephen Hawking,tape dispensers
Neil deGrasse Tyson,document holders
Jane Goodall,reading glasses
Michio Kaku,desk mirrors
Brian Cox,desk plants
Satya Nadella,motivational posters
Sundar Pichai,wall arts
Jack Ma,photo frames
Richard Branson,desk organizers
Arianna Huffington,cable clips
Sheryl Sandberg,laptop sleeves
Marissa Mayer,charging stations
Indra Nooyi,standing desks
Mary Barra,ergonomic chairs
Ursula Burns,lumbar supports
Tim Cook,anti-fatigue mats
Reed Hastings,monitor arms
Bob Iger,desk risers
Howard Schultz,task lights
Jack Dorsey,floor lamps
Larry Page,table lamps
Sergey Brin,ceiling lights
Jimmy Wales,pendant lights
Larry Ellison,wall sconces
Michael Dell,track lightings
Shigeru Miyamoto,recessed lightings
Satoru Iwata,chandeliers
George Lucas,floor fans
Steven Spielberg,ceiling fans
James Cameron,tower fans
